Sort,Dates,"Average Number of Operators, Mon-Fri, (7:00AM-3:00PM) ","Average Number of Operators, Mon-Fri, (3:00PM-11:00PM) ","Average Number of Operators, Mon-Fri, (11:00PM-7:00AM) ","Average Number of Operators, Sat-Sun, (7:00AM-3:00PM) ","Average Number of Operators, Sat-Sun, (3:00PM-11:00PM) ","Average Number of Operators, Sat-Sun, (11:00PM-7:00AM) ",Call Volume (7:00AM-3:00PM) ,Call Volume (3:00PM-11:00PM) ,Call Volume (11:00PM-7:00AM) ,Efficiency (7:00AM-3:00PM) ,Efficiency (3:00PM-11:00PM) ,Efficiency (11:00PM-7:00AM) ,Utilization (7:00AM-3:00PM) ,Utilization (3:00PM-11:00PM) ,Utilization (11:00PM-7:00AM) ,Abandoned (7:00AM-3:00PM) ,Abandoned (3:00PM-11:00PM) ,Abandoned (11:00PM-7:00AM) ,Average Wait Time (seconds): 7:00AM-3:00PM,Average Wait Time (seconds): 3:00PM-11:00PM,Average Wait Time (seconds): 11:00PM-7:00AM
15,7/18/11 - 7/24/11,22,7,2,15,10,2,34133,29181,8324,46%,35%,71%,80%,76%,66%,31%,45%,33%,201,268,168
16,7/25/11 - 7/31/11,23,7,1,14,7,2,31120,21193,5862,44%,46%,84%,78%,77%,62%,33%,33%,16%,209,229,41
17,8/01/11 - 8/07/11,21,7,2,13,9,1,28048,20576,5451,56%,46%,88%,78%,76%,59%,24%,32%,13%,168,205,28
18,8/08/11 - 8/14/11,17,8,1,15,10,2,28956,18963,4793,72%,62%,90%,77%,74%,52%,18%,24%,11%,177,146,19
19,8/15/11-8/21/11,21,9,2,11,10,2,27329,19131,5272,71%,68%,92%,79%,75%,52%,18%,21%,8%,120,120,14
20,8/22/11-8/28/11,24,10,2,14,6,1,27456,18695,4725,82%,77%,93%,77%,75%,46%,14%,19%,8%,81,95,11
21,8/29/11-9/4/11,23,10,2,15,9,2,24623,19067,4414,87%,76%,93%,78%,77%,47%,12%,19%,8%,69,91,11
22,9/05/11-9/11/11,22,9,2,15,7,2,25737,17876,4234,82%,85%,94%,71%,72%,47%,12%,15%,7%,75,61,7
23,9/12/11-9/18/11,22,10,2,12,8,1,25579,17719,3846,79%,80%,95%,78%,74%,39%,15%,16%,6%,89,74,9
24,9/19/11-9/25/11,24,12,2,14,9,1,26817,19315,3841,90%,91%,95%,75%,71%,41%,10%,11%,6%,47,32,7
